# Kinglet Pioneer — upstream content we deliberately did NOT vendor
#
# The audit trail for what we left behind, so a future ECU bump reports "still skipped" instead of
# silently reinstating content we removed on purpose. scripts/check-provenance.sh enforces it:
# every rule=absent path must stay absent, and every rule=ours-wins path must be origin=original.
#
# The first column is the path AS IT WOULD EXIST IN THIS REPOSITORY, not upstream's path for it —
# check-provenance.sh resolves it from the repo root, so anything else records a prohibition it
# cannot enforce. The two read the same for most ECU rows only because ECU's layout matches ours.
# Where they differ, the upstream path goes in the reason column.
#
# rule:
#   absent     — this path must NOT exist in the repo. check-provenance.sh fails if it reappears.
#                This is what makes the mobile strip stick.
#   ours-wins  — upstream has this path; we ship our own file there instead. The path exists, but
#                its content is ours and provenance.tsv marks it origin=original.
#
# upstream_path<TAB>upstream<TAB>rule<TAB>reason   (upstream_path is OUR path — see the note above)
benchmarks/	ecu	absent	ECU's own agent-benchmarking harness; meaningless for this toolkit, pure maintenance load
upgrade.sh	ecu	absent	ECU-specific upgrade flow; superseded by our receipt-driven re-install
.claude-plugin/	ecu	absent	single-installer distribution only; upstream copy was stale (1.3.0, counts 20/22/41/22)
.claude/VERSION	ecu	ours-wins	ours to own — vendoring ECU's would claim this toolkit IS ECU 1.5.0
docs/i18n/	ecu	absent	6 translated READMEs asserting the overlay positioning we remove; unmaintainable solo
docs/BENCHMARK-GUIDE.md	ecu	absent	documents benchmarks/, which we skip; would dangle
docs/MCP-SETUP.md	ecu	absent	collides with our root MCP-SETUP.md; ours is CoplayDev-scoped and wins
README.md	ecu	ours-wins	different product; ours describes the standalone toolkit
LICENSE	ecu	ours-wins	ours; ECU's notice is reproduced verbatim in CREDITS.md as MIT requires
CONTRIBUTING.md	ecu	ours-wins	different contribution contract (vendoring, not overlaying)
CLAUDE.md	ecu	ours-wins	ours is the guide for this repo
CHANGELOG.md	ecu	absent	ECU's release history would misrepresent ours; we start a fresh one
.gitignore	ecu	ours-wins	ours predates the vendor and covers the same ground
.claude/skills/platform/mobile/SKILL.md	ecu	absent	PC/console only. NOT inert upstream: alwaysApply:true + globs **/*.cs loaded it on every C# file
.claude/skills/genre/hyper-casual/SKILL.md	ecu	absent	mobile genre; globs **/Level*.cs, **/GameManager*.cs pulled ad-monetization guidance into PC projects
.claude/skills/genre/endless-runner/SKILL.md	ecu	absent	mobile genre; globs **/Chunk*.cs, **/Obstacle*.cs
examples/CLAUDE.md.hyper-casual	ecu	absent	mobile example
examples/CLAUDE.md.mobile-casual	ecu	absent	mobile example
.claude/agents/creative-director.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/agents/game-designer.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/agents/level-designer.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/agents/narrative-director.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/agents/systems-designer.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/agents/technical-director.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/agents/world-builder.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/agents/writer.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/commands/brainstorm.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/commands/design-review.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/commands/design-system.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/commands/estimate.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/commands/map-systems.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/commands/milestone-review.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/commands/retrospective.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/commands/scope-check.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/commands/sprint-plan.md	donchitos	absent	design/production track removed 2026-08-03; field note 36 measured docs/design, docs/production and docs/adr used 0 of 3 on a real project
.claude/skills/match3/SKILL.md	ecu	absent	genre template removed 2026-08-03; the model knows these genres and selection pool size is the scarce resource
.claude/skills/rpg/SKILL.md	ecu	absent	genre template removed 2026-08-03; the model knows these genres and selection pool size is the scarce resource
.claude/skills/puzzle/SKILL.md	ecu	absent	genre template removed 2026-08-03; the model knows these genres and selection pool size is the scarce resource
.claude/skills/topdown/SKILL.md	ecu	absent	genre template removed 2026-08-03; the model knows these genres and selection pool size is the scarce resource
.claude/skills/platformer-2d/SKILL.md	ecu	absent	genre template removed 2026-08-03; the model knows these genres and selection pool size is the scarce resource
.claude/skills/idle-clicker/SKILL.md	ecu	absent	genre template removed 2026-08-03; the model knows these genres and selection pool size is the scarce resource
.claude/skills/inventory-system/SKILL.md	ecu	absent	genre template removed 2026-08-03; the model knows these genres and selection pool size is the scarce resource
.claude/skills/dialogue-system/SKILL.md	ecu	absent	genre template removed 2026-08-03; the model knows these genres and selection pool size is the scarce resource
.claude/skills/procedural-generation/SKILL.md	ecu	absent	genre template removed 2026-08-03; the model knows these genres and selection pool size is the scarce resource
.claude/agents/unity-build-runner.md	ecu	absent	specialist removed 2026-08-03; surface cut to 32 on the criterion that a surface survives only if it does something the model cannot do unaided
.claude/agents/unity-coder-lite.md	ecu	absent	speed variant removed 2026-08-03; twins an existing surface on a cost axis, doubling the selection pool with nothing to discriminate on
.claude/agents/unity-critic.md	ecu	absent	specialist removed 2026-08-03; surface cut to 32 on the criterion that a surface survives only if it does something the model cannot do unaided
.claude/agents/unity-fixer-lite.md	ecu	absent	speed variant removed 2026-08-03; twins an existing surface on a cost axis, doubling the selection pool with nothing to discriminate on
.claude/agents/unity-git-master.md	ecu	absent	specialist removed 2026-08-03; surface cut to 32 on the criterion that a surface survives only if it does something the model cannot do unaided
.claude/agents/unity-linter.md	ecu	absent	speed variant removed 2026-08-03; twins an existing surface on a cost axis, doubling the selection pool with nothing to discriminate on
.claude/agents/unity-migrator.md	ecu	absent	specialist removed 2026-08-03; surface cut to 32 on the criterion that a surface survives only if it does something the model cannot do unaided
.claude/agents/unity-network-dev.md	ecu	absent	specialist removed 2026-08-03; surface cut to 32 on the criterion that a surface survives only if it does something the model cannot do unaided
.claude/agents/unity-scout.md	ecu	absent	specialist removed 2026-08-03; surface cut to 32 on the criterion that a surface survives only if it does something the model cannot do unaided
.claude/agents/unity-security-reviewer.md	ecu	absent	specialist removed 2026-08-03; surface cut to 32 on the criterion that a surface survives only if it does something the model cannot do unaided
.claude/agents/unity-shader-dev.md	ecu	absent	specialist removed 2026-08-03; surface cut to 32 on the criterion that a surface survives only if it does something the model cannot do unaided
.claude/agents/unity-verifier.md	ecu	absent	specialist removed 2026-08-03; surface cut to 32 on the criterion that a surface survives only if it does something the model cannot do unaided
.claude/commands/unity-audit.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/commands/unity-build.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/commands/unity-instincts.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/commands/unity-interview.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/commands/unity-learn.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/commands/unity-migrate.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/commands/unity-network.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/commands/unity-profile.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/commands/unity-ralph.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/commands/unity-session-resume.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/commands/unity-session-save.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/commands/unity-sessions.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/commands/unity-shader.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/commands/unity-skill-stocktake.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/commands/unity-skillify.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/commands/unity-team.md	ecu	absent	removed 2026-08-03 with its agent, or as toolkit self-reference; see the surface cut design
.claude/skills/animation/SKILL.md	ecu	absent	removed 2026-08-03; orphaned, package-conditional, or toolkit self-reference
.claude/skills/audio/SKILL.md	ecu	absent	removed 2026-08-03; orphaned, package-conditional, or toolkit self-reference
.claude/skills/character-controller/SKILL.md	ecu	absent	removed 2026-08-03; orphaned, package-conditional, or toolkit self-reference
.claude/skills/cinemachine/SKILL.md	ecu	absent	removed 2026-08-03; orphaned, package-conditional, or toolkit self-reference
